player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
423.p.40193,40193,Payne Durham,Tampa Bay Buccaneers,nfl.p.40193,TE,5,10.80,423.l.129200
423.p.40625,40625,Chris Brooks,Miami Dolphins,nfl.p.40625,RB,10,10.60,423.l.129200
423.p.33819,33819,Quintin Morris,Buffalo Bills,nfl.p.33819,TE,13,10.60,423.l.129200
423.p.31071,31071,Ian Thomas,Carolina Panthers,nfl.p.31071,TE,7,10.60,423.l.129200
423.p.30860,30860,Dare Ogunbowale,Houston Texans,nfl.p.30860,RB,7,10.30,423.l.129200
423.p.29951,29951,C.J. Ham,Minnesota Vikings,nfl.p.29951,RB,13,10.20,423.l.129200
423.p.40671,40671,Rakim Jarrett,Tampa Bay Buccaneers,nfl.p.40671,WR,5,10.00,423.l.129200
423.p.28464,28464,Chris Conley,San Francisco 49ers,nfl.p.28464,WR,9,9.90,423.l.129200
423.p.28482,28482,Ty Montgomery II,New England Patriots,nfl.p.28482,"WR,RB",11,9.90,423.l.129200
423.p.26483,26483,Case Keenum,Houston Texans,nfl.p.26483,QB,7,9.74,423.l.129200
423.p.28947,28947,DeAndre Carter,Chicago Bears,nfl.p.28947,WR,13,9.70,423.l.129200
423.p.32342,32342,Keelan Doss,Los Angeles Chargers,nfl.p.32342,WR,5,9.30,423.l.129200
423.p.32831,32831,Tyler Johnson,Los Angeles Rams,nfl.p.32831,WR,10,8.80,423.l.129200
423.p.40629,40629,Julian Hill,Miami Dolphins,nfl.p.40629,TE,10,8.80,423.l.129200
423.p.33891,33891,Jack Stoll,New York Giants,nfl.p.33891,TE,13,8.80,423.l.129200
423.p.34378,34378,Britain Covey,Philadelphia Eagles,nfl.p.34378,WR,10,8.20,423.l.129200
423.p.32814,32814,DeeJay Dallas,Arizona Cardinals,nfl.p.32814,RB,14,8.20,423.l.129200
423.p.33519,33519,Tylan Wallace,Baltimore Ravens,nfl.p.33519,WR,13,8.10,423.l.129200
423.p.34154,34154,Grant Calcaterra,Philadelphia Eagles,nfl.p.34154,TE,10,7.90,423.l.129200
423.p.33567,33567,Simi Fehoko,Los Angeles Chargers,nfl.p.33567,WR,5,7.90,423.l.129200
423.p.34607,34607,Peyton Hendershot,Dallas Cowboys,nfl.p.34607,TE,7,7.80,423.l.129200
423.p.28115,28115,Damien Williams,Arizona Cardinals,nfl.p.28115,RB,14,7.50,423.l.129200
423.p.40188,40188,Clayton Tune,Arizona Cardinals,nfl.p.40188,QB,14,7.48,423.l.129200
423.p.32762,32762,Devin Duvernay,Jacksonville Jaguars,nfl.p.32762,WR,9,7.30,423.l.129200
423.p.34174,34174,Ko Kieft,Tampa Bay Buccaneers,nfl.p.34174,TE,5,7.20,423.l.129200
423.p.40374,40374,Elijah Cooks,Jacksonville Jaguars,nfl.p.40374,WR,9,6.80,423.l.129200
423.p.28556,28556,Michael Burton,Denver Broncos,nfl.p.28556,RB,9,6.70,423.l.129200
423.p.25876,25876,Marvin Jones Jr.,Detroit Lions,nfl.p.25876,WR,9,6.50,423.l.129200
423.p.32746,32746,Ke'Shawn Vaughn,Tampa Bay Buccaneers,nfl.p.32746,RB,5,6.40,423.l.129200
423.p.28141,28141,Keith Smith,Atlanta Falcons,nfl.p.28141,RB,11,6.30,423.l.129200
423.p.40702,40702,Nate Adkins,Denver Broncos,nfl.p.40702,TE,9,6.20,423.l.129200
423.p.32860,32860,Charlie Woerner,Atlanta Falcons,nfl.p.32860,TE,11,6.20,423.l.129200
